,2008 [YR2008],2012 [YR2012]
559,0.360285714,0.360285714
618,0.007763223,0.007763223
753,0.121114286,0.121114286
1030,0.001,0.001
1896,0.962714286,0.962714286
1955,0.049711665,0.049711665
2090,0.023471429,0.023471429
2690,0.937408157,0.937408157
3233,0.866142857,0.866142857
3292,0.045341011,0.045341011
3427,0.028028571,0.028028571
5966,0.348429082,0.348429082
6101,0.0043,0.0043
7244,0.481428571,0.481428571
7303,0.010704145,0.010704145
7438,0.195328571,0.195328571
7715,0.019571429,0.019571429
8038,0.9182146,0.9182146
8581,0.977857143,0.977857143
8640,0.219849254,0.219849254
8775,0.013385714,0.013385714
9918,0.973,0.973
9977,0.16172533,0.16172533
10112,0.017814286,0.017814286
10389,0.004,0.004
11255,0.949,0.949
11314,0.042816786,0.042816786
11449,0.024728571,0.024728571
11726,0.001,0.001
12592,0.955142857,0.955142857
12651,0.234285714,0.234285714
13386,0.9474776,0.9474776
13988,0.627848166,0.627848166
14123,0.005742857,0.005742857
15325,0.519564929,0.519564929
15460,0.004957143,0.004957143
16060,0.841696086,0.841696086
16603,0.770857143,0.770857143
16662,0.079735662,0.079735662
16797,0.055414286,0.055414286
17074,0.001285714,0.001285714
17940,0.971714286,0.971714286
17999,0.214,0.214
18134,0.018014286,0.018014286
18411,0.034428571,0.034428571
19336,0.226515238,0.226515238
19471,0.011428571,0.011428571
20614,0.79,0.79
20673,0.005248971,0.005248971
20808,0.071585714,0.071585714
21085,0.001,0.001
21951,0.997571429,0.997571429
22010,0.421803428,0.421803428
22145,0.019657143,0.019657143
22422,0.008142857,0.008142857
23288,0.996,0.996
23347,0.122878968,0.122878968
23435,0.000134286,0.000134286
23482,0.010285714,0.010285714
23759,0.002285714,0.002285714
24082,0.980038057,0.980038057
24684,0.516326279,0.516326279
24819,0.005085714,0.005085714
25419,0.987545533,0.987545533
25962,0.899,0.899
26021,0.08389967,0.08389967
26156,0.022057143,0.022057143
26433,0.017714286,0.017714286
27299,0.697,0.697
27358,0.011141596,0.011141596
27493,0.126014286,0.126014286
27770,0.014285714,0.014285714
28695,0.609644988,0.609644988
29973,0.898285714,0.898285714
30032,0.032028217,0.032028217
30167,0.064928571,0.064928571
30444,0.001142857,0.001142857
31310,0.823714286,0.823714286
31369,0.050162394,0.050162394
31504,0.062371429,0.062371429
31781,0.003857143,0.003857143
32647,0.982714286,0.982714286
32706,0.1395027,0.1395027
32841,0.009028571,0.009028571
33984,0.956857143,0.956857143
34043,0.037570537,0.037570537
34178,0.074814286,0.074814286
34455,0.263571429,0.263571429
35321,0.949,0.949
35380,0.18005758,0.18005758
35515,0.025071429,0.025071429
36717,0.286987139,0.286987139
36852,0.008885714,0.008885714
37452,0.960021829,0.960021829
37995,0.996428571,0.996428571
38054,0.182231854,0.182231854
38189,0.017071429,0.017071429
38789,0.437091829,0.437091829
39332,0.672857143,0.672857143
39391,0.004264404,0.004264404
39526,0.165057143,0.165057143
39803,0.016,0.016
40669,0.729714286,0.729714286
40728,0.003820427,0.003820427
40863,0.137514286,0.137514286
41140,0.020714286,0.020714286
41463,0.969594057,0.969594057
42006,0.848428571,0.848428571
42065,0.052877179,0.052877179
42200,0.030471429,0.030471429
42477,0.003857143,0.003857143
42800,0.980744067,0.980744067
43343,0.514,0.514
43402,0.003058035,0.003058035
43537,0.0734,0.0734
43814,0.012285714,0.012285714
44680,0.659,0.659
44739,0.012232886,0.012232886
44874,0.129928571,0.129928571
45151,0.051428571,0.051428571
46017,0.998,0.998
46076,0.670298947,0.670298947
46211,0.006085714,0.006085714
47354,0.943571429,0.943571429
47413,0.448447944,0.448447944
48148,0.526615333,0.526615333
48691,0.643,0.643
48750,0.002196023,0.002196023
48885,0.157871429,0.157871429
50028,0.467,0.467
50087,0.003886801,0.003886801
50222,0.178742857,0.178742857
50499,0.035571429,0.035571429
52159,0.9492944,0.9492944
52702,0.963285714,0.963285714
52761,0.280606839,0.280606839
52896,0.009442857,0.009442857
53173,0.003428571,0.003428571
54039,0.850428571,0.850428571
54098,0.079688235,0.079688235
54186,0.000441,0.000441
54233,0.026685714,0.026685714
54833,0.95037768,0.95037768
55376,0.903428571,0.903428571
55435,0.103015361,0.103015361
55570,0.022385714,0.022385714
55847,0.005714286,0.005714286
56772,0.014104935,0.014104935
56907,0.094928571,0.094928571
57184,0.001,0.001
58050,0.447,0.447
58109,0.001913544,0.001913544
58244,0.170571429,0.170571429
58521,0.014428571,0.014428571
59387,0.711571429,0.711571429
59446,0.011368724,0.011368724
59581,0.114371429,0.114371429
59858,0.040428571,0.040428571
60724,0.955714286,0.955714286
60783,0.208786078,0.208786078
60918,0.010971429,0.010971429
61195,0.002571429,0.002571429
62061,0.783428571,0.783428571
62120,0.00980824,0.00980824
62255,0.134142857,0.134142857
62532,0.053571429,0.053571429
62855,0.970882367,0.970882367
63398,0.985,0.985
63457,0.279340819,0.279340819
63592,0.0071,0.0071
64192,0.961273414,0.961273414
64735,0.918285714,0.918285714
64794,0.072981792,0.072981792
64882,0.000308667,0.000308667
64929,0.007128571,0.007128571
65206,0.001,0.001
66866,0.988522914,0.988522914
67468,0.31495537,0.31495537
67603,0.005242857,0.005242857
68746,0.998,0.998
68805,0.347938817,0.347938817
68940,0.005471429,0.005471429
69540,0.97996275,0.97996275
70142,0.741167892,0.741167892
70277,0.0051,0.0051
71420,0.861142857,0.861142857
71479,0.008687726,0.008687726
71614,0.1007,0.1007
71891,0.023428571,0.023428571
72816,0.29118062,0.29118062
72951,0.014428571,0.014428571
73551,0.85228235,0.85228235
74094,0.843285714,0.843285714
74153,0.102864556,0.102864556
74288,0.034971429,0.034971429
74565,0.011571429,0.011571429
75431,0.819,0.819
75490,0.057457381,0.057457381
75625,0.029857143,0.029857143
75902,0.006,0.006
76768,0.974,0.974
76827,0.088509758,0.088509758
76962,0.034,0.034
77239,0.001,0.001
